plant_id,meter_id,meter_reading,date,created_at,data_availability,guid
11838318,11838324,279232875,2024-12-25 16:00:31.769703 UTC,2024-12-25 16:00:31.769710 UTC,1,
11838318,11838324,291236250,2025-01-12 16:00:31.965500 UTC,2025-01-12 16:00:31.965505 UTC,1,
11838318,11838324,304159468,2025-01-28 16:00:32.385688 UTC,2025-01-28 16:00:32.385693 UTC,1,
11838318,11838324,288881812,2025-01-09 16:00:32.113354 UTC,2025-01-09 16:00:32.113359 UTC,1,
11838318,11838324,358043893,2025-03-30 16:00:34.306867 UTC,2025-03-30 16:00:34.306867 UTC,1,
11838318,11838324,253458875,2024-11-22 16:00:31.581182 UTC,2024-11-22 16:00:31.581187 UTC,1,
11838318,11838324,313431000,2025-02-08 16:00:22.813749 UTC,2025-02-08 16:00:22.813754 UTC,1,
11838318,11838324,275243843,2024-12-19 16:00:31.124585 UTC,2024-12-19 16:00:31.124591 UTC,1,
11838318,11838324,239880484,2024-11-08 16:00:31.379907 UTC,2024-11-08 16:00:31.379912 UTC,1,
11838318,11838324,236833546,2024-11-05 16:00:30.717491 UTC,2024-11-05 16:00:30.717496 UTC,1,
11838318,11838324,198112703,2024-09-14 16:00:35.915021 UTC,2024-09-14 16:00:35.915027 UTC,1,
11838318,11838324,334743156,2025-03-04 16:00:36.365337 UTC,2025-03-04 16:00:36.365337 UTC,1,
11838318,11838324,362985968,2025-04-11 16:00:35.478963 UTC,2025-04-11 16:00:35.478963 UTC,1,
11838318,11838324,346235500,2025-03-16 16:00:35.360252 UTC,2025-03-16 16:00:35.360252 UTC,1,
11838318,11838324,358638793,2025-04-02 16:00:34.409008 UTC,2025-04-02 16:00:34.409008 UTC,1,
11838318,11838324,288007312,2025-01-08 16:00:32.607084 UTC,2025-01-08 16:00:32.607090 UTC,1,
11838318,11838324,341297531,2025-03-10 16:00:35.500992 UTC,2025-03-10 16:00:35.500992 UTC,1,
11838318,11838324,307641218,2025-02-02 16:00:33.745677 UTC,2025-02-02 16:00:33.745682 UTC,1,
11838318,11838324,209540250,2024-09-29 16:00:30.234376 UTC,2024-09-29 16:00:30.234381 UTC,1,
11838318,11838324,233113296,2024-11-01 16:00:30.370069 UTC,2024-11-01 16:00:30.370074 UTC,1,
11838318,11838324,250149578,2024-11-18 16:00:30.468988 UTC,2024-11-18 16:00:30.468994 UTC,1,
11838318,11838324,199741234,2024-09-17 16:00:30.453775 UTC,2024-09-17 16:00:30.453781 UTC,1,
11838318,11838324,287651843,2025-01-07 16:00:32.959164 UTC,2025-01-07 16:00:32.959170 UTC,1,
