plant_id,created_at,temperature,module_temperature,ambient_temperature,solar_irradiation
1535727,2023-03-02 22:15:01.000000 UTC,20,23,26.1,1
1535727,2023-03-02 22:19:38.000000 UTC,20,23,26.1,1
1535727,2023-03-02 22:29:44.000000 UTC,20,23,26.1,1
1535727,2023-03-02 22:34:39.000000 UTC,20,23,26.1,1
1535727,2023-03-02 22:39:43.000000 UTC,20,23,26.1,1
1535727,2023-03-01 17:24:38.000000 UTC,21,23,26,1
1535727,2023-03-02 17:34:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 17:39:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 17:44:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 17:49:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 18:04:44.000000 UTC,21,23,26.1,1
1535727,2023-03-02 18:18:06.000000 UTC,21,23,26.1,1
1535727,2023-03-02 18:19:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 18:24:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 18:59:52.000000 UTC,21,23,26.1,1
1535727,2023-03-02 19:09:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 19:19:47.000000 UTC,21,23,26.1,1
1535727,2023-03-02 19:24:42.000000 UTC,21,23,26.1,1
1535727,2023-03-02 19:29:42.000000 UTC,21,23,26.1,1
1535727,2023-03-02 20:09:57.000000 UTC,21,23,26.1,1
1535727,2023-03-02 20:11:34.000000 UTC,21,23,26.1,1
1535727,2023-03-02 20:14:37.000000 UTC,21,23,26.1,1
1535727,2023-03-02 20:19:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 20:24:38.000000 UTC,21,23,26.1,1
1535727,2023-03-02 16:39:38.000000 UTC,22,23,26.1,1
1535727,2023-03-02 16:44:38.000000 UTC,22,23,26.1,1
1535727,2023-03-02 16:49:38.000000 UTC,22,23,26.1,1
1535727,2023-03-02 17:09:45.000000 UTC,22,23,26.1,1
1535727,2023-03-02 17:14:38.000000 UTC,22,23,26.1,1
1535727,2023-03-02 17:29:44.000000 UTC,22,23,26.1,1
1535727,2023-03-02 16:30:07.000000 UTC,22,23,26.1,1
1535727,2023-03-02 16:34:38.000000 UTC,22,23,26.1,1
1535727,2023-03-02 16:14:41.000000 UTC,23,23,26.2,1
1535727,2023-03-02 16:09:53.000000 UTC,23,23,26.3,1
