plant_id,generation_date,generation_amount
11811249,2025-10-22 18:00:00.000000 UTC,159.6
12018942,2025-10-22 18:00:00.000000 UTC,598.1
11701955,2025-10-22 18:00:00.000000 UTC,"1,007.80"
15848107,2025-10-22 18:00:00.000000 UTC,"3,709.40"
11838318,2025-10-22 18:00:00.000000 UTC,979.3
11605154,2025-10-22 18:00:00.000000 UTC,469.8
12018942,2025-10-10 18:00:00.000000 UTC,603.424
11701955,2025-10-10 18:00:00.000000 UTC,454.305
15848107,2025-10-10 18:00:00.000000 UTC,"1,789.59"
11838318,2025-10-10 18:00:00.000000 UTC,631.7
11605154,2025-10-10 18:00:00.000000 UTC,356.411
12018942,2025-10-11 18:00:00.000000 UTC,203.5
15848107,2025-10-11 18:00:00.000000 UTC,"1,969.76"
11838318,2025-10-11 18:00:00.000000 UTC,525.4
12018942,2025-10-07 18:00:00.000000 UTC,318.91
11701955,2025-10-07 18:00:00.000000 UTC,898.7
15848107,2025-10-07 18:00:00.000000 UTC,"2,350.04"
11838318,2025-10-07 18:00:00.000000 UTC,314.2
11605154,2025-10-07 18:00:00.000000 UTC,328.953
12018942,2025-10-09 18:00:00.000000 UTC,580.871
11701955,2025-10-09 18:00:00.000000 UTC,816.761
15848107,2025-10-09 18:00:00.000000 UTC,"2,488.90"
11838318,2025-10-09 18:00:00.000000 UTC,498.6
11605154,2025-10-09 18:00:00.000000 UTC,388.02
12018942,2025-10-08 18:00:00.000000 UTC,386.244
11701955,2025-10-08 18:00:00.000000 UTC,"1,640.23"
15848107,2025-10-08 18:00:00.000000 UTC,"3,737.50"
11838318,2025-10-08 18:00:00.000000 UTC,824.6
11605154,2025-10-08 18:00:00.000000 UTC,663.504
11605154,2025-09-20 18:00:00.000000 UTC,269
11605154,2025-09-18 18:00:00.000000 UTC,264.2
11605154,2025-09-19 18:00:00.000000 UTC,290
11605154,2025-09-17 18:00:00.000000 UTC,197.1
11605154,2025-09-21 18:00:00.000000 UTC,234.1
11605154,2025-09-26 18:00:00.000000 UTC,360.87
11605154,2025-09-23 18:00:00.000000 UTC,421.3
11605154,2025-09-24 18:00:00.000000 UTC,438.881
11605154,2025-09-22 18:00:00.000000 UTC,162.7
11605154,2025-09-25 18:00:00.000000 UTC,514.334
11605154,2025-09-28 18:00:00.000000 UTC,711.393
11605154,2025-09-29 18:00:00.000000 UTC,876.691
11605154,2025-10-01 18:00:00.000000 UTC,309.328
11605154,2025-09-30 18:00:00.000000 UTC,396.462
11605154,2025-09-27 18:00:00.000000 UTC,416.6
11605154,2025-09-10 18:00:00.000000 UTC,279.7
11605154,2025-09-08 18:00:00.000000 UTC,354.5
11605154,2025-09-07 18:00:00.000000 UTC,282.3
11605154,2025-09-09 18:00:00.000000 UTC,256.8
11605154,2025-09-11 18:00:00.000000 UTC,193.5
11605154,2025-09-12 18:00:00.000000 UTC,238.8
11605154,2025-09-15 18:00:00.000000 UTC,154.3
11605154,2025-09-14 18:00:00.000000 UTC,52.9
11605154,2025-09-16 18:00:00.000000 UTC,242.3
11605154,2025-09-13 18:00:00.000000 UTC,149.9
11701955,2025-09-20 18:00:00.000000 UTC,"1,352.89"
11701955,2025-09-18 18:00:00.000000 UTC,889.364
11701955,2025-09-19 18:00:00.000000 UTC,860.066
11701955,2025-09-17 18:00:00.000000 UTC,793.224
11701955,2025-09-21 18:00:00.000000 UTC,"1,110.70"
11701955,2025-09-26 18:00:00.000000 UTC,"2,135.07"
11701955,2025-09-23 18:00:00.000000 UTC,"1,582.97"
11701955,2025-09-24 18:00:00.000000 UTC,"1,793.58"
11701955,2025-09-22 18:00:00.000000 UTC,996.049
11701955,2025-09-25 18:00:00.000000 UTC,"1,291.80"
11701955,2025-09-28 18:00:00.000000 UTC,780.317
11701955,2025-09-29 18:00:00.000000 UTC,"1,520.30"
11701955,2025-10-01 18:00:00.000000 UTC,772.3
11701955,2025-09-30 18:00:00.000000 UTC,"1,262.57"
11701955,2025-09-27 18:00:00.000000 UTC,"1,572.95"
11701955,2025-09-10 18:00:00.000000 UTC,"1,161.27"
11701955,2025-09-08 18:00:00.000000 UTC,876.723
11701955,2025-09-07 18:00:00.000000 UTC,"1,205.48"
11701955,2025-09-09 18:00:00.000000 UTC,"1,657.43"
11701955,2025-09-11 18:00:00.000000 UTC,"1,153.44"
11701955,2025-09-12 18:00:00.000000 UTC,134.812
11701955,2025-09-15 18:00:00.000000 UTC,750.3
11701955,2025-09-14 18:00:00.000000 UTC,53.217
11701955,2025-09-16 18:00:00.000000 UTC,844.545
11838318,2025-09-20 18:00:00.000000 UTC,600.4
11838318,2025-09-18 18:00:00.000000 UTC,587.9
11838318,2025-09-19 18:00:00.000000 UTC,663.8
11838318,2025-09-17 18:00:00.000000 UTC,531.2
11838318,2025-09-21 18:00:00.000000 UTC,180.4
11838318,2025-09-26 18:00:00.000000 UTC,248.3
11838318,2025-09-25 18:00:00.000000 UTC,103.4
11838318,2025-09-29 18:00:00.000000 UTC,0
11838318,2025-10-01 18:00:00.000000 UTC,450.6
11838318,2025-09-30 18:00:00.000000 UTC,956.3
11838318,2025-09-27 18:00:00.000000 UTC,844.8
11838318,2025-09-10 18:00:00.000000 UTC,891.2
11838318,2025-09-08 18:00:00.000000 UTC,690
11838318,2025-09-07 18:00:00.000000 UTC,547.8
11838318,2025-09-09 18:00:00.000000 UTC,684.2
11838318,2025-09-11 18:00:00.000000 UTC,575.1
11838318,2025-09-12 18:00:00.000000 UTC,522.6
11838318,2025-09-15 18:00:00.000000 UTC,335.1
