generation_date,energy_kwh,energy_kwh_filled,expected_kwh,temp,clouds_all,daily_rain_mm,anomaly_hours,pr_daily,energy_30d,expected_30d,pr_30d
2025-04-18 00:00:00+06:00,0.0,1502.4795770421654,1568.7399413749665,25.227152777777775,63.041666666666664,12.41,0,0.0,714.2406770827067,1583.262626906842,0.4496214228766079
2025-04-19 00:00:00+06:00,353.9294153325,1231.5894077244025,1582.8952884475202,26.891527777777778,62.45659722222222,0.0,0,0.22359622769464974,741.8555219607234,1585.820213833352,0.4666774298693897
2025-04-20 00:00:00+06:00,771.9959332246,884.99098091075,1588.9149791898785,28.40236111111111,52.708333333333336,0.0,0,0.48586358825706866,770.8161518121166,1588.3729063186527,0.48458015897614554
2025-04-21 00:00:00+06:00,593.8638565678,645.8304821829,1577.315493375357,27.598472222222224,75.91840277777779,2.28,0,0.3765028994275383,799.0658926773366,1590.9019025265384,0.5019392946410098
2025-04-22 00:00:00+06:00,739.2104728232,768.1243585575,1606.5023819796977,29.76534722222222,70.625,0.0,0,0.4601365557343704,820.5012758180467,1593.14129164096,0.5151834210583693
2025-04-23 00:00:00+06:00,956.1626214875,1035.80417132815,1610.788618051782,30.43569444444444,70.625,0.0,0,0.5935990674207522,815.3820896952267,1595.7701630497456,0.5108950797085365
2025-04-24 00:00:00+06:00,969.4091354283,1031.7410132834,1614.6495669125927,30.574583333333333,62.66493055555555,0.0,0,0.6003836097277311,822.2156873179199,1598.3950004690296,0.5141942342656531
2025-04-25 00:00:00+06:00,515.6708077199,881.4255611247268,1616.8018685695765,30.58458333333333,56.71006944444445,0.0,0,0.31894496026042224,832.85920439911,1601.1109241837535,0.5197403037530617
2025-04-26 00:00:00+06:00,969.4383031732,1060.58644495195,1620.7358450495067,30.70958333333333,63.333333333333336,0.0,0,0.5981470121329906,836.0005240656534,1603.9912990998284,0.5204870081354905
2025-04-27 00:00:00+06:00,819.1606506216,909.55186237685,1614.0686774892913,29.50491319444444,58.958333333333336,0.0,0,0.5075128847031571,834.6294743855366,1606.888645581472,0.5183535723380376
2025-04-28 00:00:00+06:00,748.4172114874,775.2982695948,1593.7762886572773,26.281041666666667,70.58333333333333,0.46,0,0.46958736731986744,824.4264553707234,1608.6066902370283,0.5114697307074374
2025-04-29 00:00:00+06:00,1019.0940777486001,1077.4137462963,1598.2975764544628,25.733333333333334,58.89930555555555,9.13,0,0.6376122273858901,819.44186489921,1610.5491510085506,0.5074885563500353
2025-04-30 00:00:00+06:00,682.757353607,725.69563013185,1609.6651065411143,27.113333333333333,64.53645833333333,0.0,0,0.4241611194977848,808.1663585176767,1612.252713752057,0.4998882043698946
2025-05-01 00:00:00+06:00,636.1138545558999,693.71676288075,1617.6504150541332,27.12168402777778,36.520833333333336,0.21,0,0.3932332033152002,792.6462418041299,1613.802769617182,0.48972744471024027
2025-05-02 00:00:00+06:00,1044.6858336999,1044.5692275277,1613.7462942718423,27.255677083333335,44.62847222222222,1.79,0,0.6473668366633091,804.6224701319467,1615.8061591300611,0.4964768114624245
2025-05-03 00:00:00+06:00,828.4453463405,928.10031111175,1619.0685715421755,27.951475694444444,38.62152777777778,0.48000000000000004,0,0.5116802097834555,814.3152497464133,1618.2884258197143,0.5018571818692232
2025-05-04 00:00:00+06:00,868.8188955418,875.85469472095,1617.6656463211868,27.485503472222224,65.41666666666667,3.47,0,0.5370818732026756,847.2947894322567,1620.3906452802491,0.5220676291108057
2025-05-05 00:00:00+06:00,847.4922259566,903.2090494756,1627.3702453054113,28.84092013888889,36.75,0.0,0,0.5207740699459266,859.8051475782066,1621.8896500480862,0.5295468630198866
2025-05-06 00:00:00+06:00,643.0614942213,701.00034878055,1618.4822211160567,27.88236111111111,50.041666666666664,1.7599999999999998,0,0.39732379252078787,851.9042531756166,1622.957721687181,0.5243525050850899
2025-05-07 00:00:00+06:00,951.1032422157,1027.2592605352,1630.255923930884,29.053767361111113,36.958333333333336,0.0,0,0.5834073216690994,860.22919100685,1624.7329489890778,0.5290481322256644
2025-05-08 00:00:00+06:00,1051.5286272372,1127.6227487419999,1639.9092530644077,30.518350694444447,40.71006944444444,0.22,0,0.6412114726911057,858.3179025309466,1625.3435051331167,0.527698918813186
2025-05-09 00:00:00+06:00,1191.3403856549999,1254.07835338415,1646.1927759072419,31.322916666666668,42.85069444444445,0.0,0,0.7236943346434224,850.6449626378433,1625.980539931906,0.5227592999254664
2025-05-10 00:00:00+06:00,1132.007523297,1224.70769618155,1655.2415912376605,32.15881944444444,26.105902777777775,0.13,0,0.6838926289005178,847.8030915106199,1626.333438976256,0.5208803451656622
2025-05-11 00:00:00+06:00,1123.855418777,1207.99200846555,1652.9372860557946,31.561597222222222,20.62673611111111,0.78,0,0.6799141312001746,853.31681498868,1626.9811422186672,0.5241238574918046
2025-05-12 00:00:00+06:00,607.4803366296,637.95906146945,1626.9017869484646,28.798333333333332,65.78993055555556,0.0,0,0.3733970553742118,847.3301724400567,1627.2778089023636,0.5203413604045758
2025-05-13 00:00:00+06:00,1087.7214758046,1174.0924481741001,1634.9236094973492,29.914722222222224,47.657986111111114,8.29,0,0.6653041582407729,858.18404922425,1628.2313251219628,0.5266542100516624
2025-05-14 00:00:00+06:00,774.0600529963,862.2113850203,1640.4227575852135,30.656041666666667,25.795138888888886,6.59,0,0.47186619998844453,861.1951276831234,1629.520995420232,0.5281277261879375
