date,actual_kwh,predicted_kwh,daily_residual,anomaly_hours,avg_temp,avg_clouds,total_rain,performance_ratio,loss_kwh,loss_pct,status
2025-02-18,0.0,925.7809646769267,-925.7809646769267,5,25.51181818181818,15.181818181818182,0.11,0.0,925.7809646769267,100.0,Attention
2025-02-20,331.8957419953,930.9132704782718,-599.0175284829718,3,25.954545454545453,28.272727272727273,0.0,0.35652702837159383,599.0175284829718,64.34729716284062,Attention
2025-03-12,59.0900769277,1101.12458634818,-1042.03450942048,7,29.176363636363636,10.090909090909092,0.0,0.053663388921020315,1042.03450942048,94.63366110789796,Alert
2025-03-29,191.9304886667,1142.0980275995273,-950.1675389328274,6,32.52181818181818,0.0,0.0,0.16805080126974858,950.1675389328273,83.19491987302514,Alert
2025-03-30,0.0,1049.136807655361,-1049.136807655361,7,31.704545454545453,17.09090909090909,0.0,0.0,1049.136807655361,100.0,Alert
2025-03-31,0.0,788.4354580611797,-788.4354580611797,4,31.39818181818182,52.72727272727273,0.0,0.0,788.4354580611797,100.0,Attention
2025-04-03,0.0,733.6986094381882,-733.6986094381882,4,32.00454545454546,35.72727272727273,0.0,0.0,733.6986094381882,100.0,Attention
2025-04-04,0.0,618.186170303248,-618.186170303248,3,30.91,48.81818181818182,0.0,0.0,618.186170303248,100.0,Attention
2025-04-05,0.0,734.0261992623374,-734.0261992623374,4,31.83,27.272727272727273,0.0,0.0,734.0261992623374,100.0,Attention
2025-04-06,0.0,623.9319568034196,-623.9319568034196,3,31.271818181818183,43.18181818181818,0.0,0.0,623.9319568034196,100.0,Attention
2025-04-18,0.0,798.4373435419761,-798.4373435419761,5,26.719090909090905,52.09090909090909,12.41,0.0,798.4373435419761,100.0,Attention
2025-04-25,515.067229831,798.1788292435087,-283.1115994125087,3,31.7925,60.416666666666664,0.0,0.6453030460845047,283.1115994125088,35.46969539154953,Attention
2025-06-09,0.0,721.7404096560591,-721.7404096560591,3,32.81076923076923,46.15384615384615,0.42,0.0,721.7404096560591,100.0,Attention
2025-07-12,91.1491089334,726.1556982085147,-635.0065892751146,3,32.30461538461539,62.92307692307692,0.0,0.12552281715653033,635.0065892751146,87.44771828434696,Attention
