generation_date,generation_kwh,generation_kwh_filled,expected_energy_kwh,actual_power_kw,expected_power_kw,ghi,elevation,temp,clouds_all,visibility,rain_1h,is_daytime,is_anomaly,long_gap,plant_capacity,plant_name,pr_hourly
2024-03-05 17:00:00+06:00,12.4937505,13.7947854611,13.195699226842628,14.9925006,13.195699226842628,59.261717388073144,7.3011640677262735,26.804166666666664,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),0.9468047342716992
2024-03-05 18:00:00+06:00,0.11233005,0.0,0.0012273662330080765,0.11233005,0.0012273662330080765,0.0055341320273174744,-6.2918776177730456,25.889166666666668,0.0,4000.0,0.0,False,False,0,269.28,HKL (GGI),91.52121590040585
2024-03-05 19:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-19.97475940440498,23.980833333333333,0.0,4000.0,0.0,False,False,0,269.28,HKL (GGI),
2024-03-05 20:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-33.5790161317425,22.427916666666665,0.0,4000.0,0.0,False,False,0,269.28,HKL (GGI),
2024-03-05 21:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-46.84742682265536,23.134583333333335,0.0,4000.0,0.0,False,False,0,269.28,HKL (GGI),
2024-03-05 22:00:00+06:00,0.0,0.0,0.0,,0.0,0.0,-59.17390403081611,22.254166666666663,0.0,3977.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-05 23:00:00+06:00,0.0,0.0,0.0,,0.0,0.0,-68.66781821751631,20.107083333333332,0.0,3927.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 00:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-70.73036703188286,19.133333333333336,0.0,3877.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 01:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-63.67763025998363,18.59958333333333,0.0,3827.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 02:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-52.159368943639215,17.84125,0.0,3777.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 03:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-39.16576965014034,17.17625,0.0,3727.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 04:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-25.65165354181488,16.42,0.0,3677.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 05:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-11.967461259504093,16.150833333333335,0.0,3627.0833333333335,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 06:00:00+06:00,2.3216820389,2.3216820389,2.901823144698959,2.3216820389,2.9018231446989593,13.599202632243946,1.6987929176944743,16.396666666666665,0.0,3577.0833333333335,0.0,True,False,0,269.28,HKL (GGI),0.8000770285195503
