Model,Test MAE (kWh),Test RMSE (kWh),Test R²,Test MAPE (%),Training Time (s)
Ridge Regression,24.05865632675495,33.2034829033261,0.6004454399654466,37.00443981268447,0.057908058166503906
Random Forest,25.361769324959848,35.381465836675645,0.5463087001082294,39.00874819367975,8.48178482055664
XGBoost,26.208086760150106,36.23146021120019,0.5242481530155658,40.31046272700953,3.1086318492889404
Gradient Boosting,26.012551909903994,36.620497042767,0.5139764902657802,40.00971203258409,11.913629055023193
SVR,26.335768569661486,36.6997147433786,0.5118714774164486,40.50684916568126,3.370297908782959
LSTM,32.11758479604275,41.524363755352866,0.3764054469563667,49.31330483191468,10.082917928695679
